"idhod","amount","year","confidentiality","location","non_investment_expense_type","program","sector","type_of_expense"
704872646,3404636,2006,"verejny","Česká republika",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
704872650,1190118,2006,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
704872642,4561770,2006,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
704872654,166382,2006,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
704872652,1084489,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
704872635,22469983,2006,"verejny","Česká republika",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
704872644,7348695,2006,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
704872658,507589,2006,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
704872656,4008,2006,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
704872648,4202296,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
704462035,2315584,2006,"verejny","Česká republika",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
704872637,9393550,2006,"verejny","Česká republika",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
704462045,831005,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
704462040,257176,2006,"verejny","Česká republika",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
704462043,1104783,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
704872636,13076433,2006,"verejny","Česká republika",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
704462036,3097513,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
704462042,1089052,2006,"verejny","Česká republika",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
704462044,1055348,2006,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
704462034,2497589,2006,"verejny","Česká republika",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
704462038,253484,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
704462033,4304594,2006,"verejny","Česká republika",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
704462037,134770,2006,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
704462041,4851106,2006,"verejny","Česká republika",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
704462052,113405,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
704462049,17857292,2006,"verejny","Česká republika",NULL,"Waste management",NULL,"Turnover from selling of services"
704462050,808093,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
704872638,23358406,2006,"verejny","Česká republika",NULL,NULL,NULL,"Turnover from selling of services"
704462047,94529,2006,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
704462048,4323618,2006,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Turnover from selling of services"
704462051,NULL,2006,"duverny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
704462066,0,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
704462063,1141609,2006,"verejny","Česká republika",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
704462064,824,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Capitalized output (methodology valid until 2015)"
704872640,1216896,2006,"verejny","Česká republika",NULL,NULL,NULL,"Capitalized output (methodology valid until 2015)"
704462061,30183,2006,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Capitalized output (methodology valid until 2015)"
704462062,33453,2006,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
704462065,0,2006,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
704872633,20576605,2006,"verejny","Česká republika","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704462014,12404703,2006,"verejny","Česká republika","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704462021,13007209,2006,"verejny","Česká republika","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704462023,162758,2006,"verejny","Česká republika","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704872651,794676,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704462013,4308560,2006,"verejny","Česká republika","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704462017,140150,2006,"verejny","Česká republika","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704462024,654526,2006,"verejny","Česká republika","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704872645,25411912,2006,"verejny","Česká republika",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
704872647,2499269,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704462012,1721451,2006,"verejny","Česká republika","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704872634,20404289,2006,"verejny","Česká republika","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704462015,1449969,2006,"verejny","Česká republika","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704462019,1114053,2006,"verejny","Česká republika","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704462020,2630567,2006,"verejny","Česká republika","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704872632,40980894,2006,"verejny","Česká republika",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
704872641,2835504,2006,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704462016,10065,2006,"verejny","Česká republika","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704872643,6939127,2006,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
704872649,172823,2006,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704462022,1049300,2006,"verejny","Česká republika","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704872653,1361297,2006,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
704872655,104386,2006,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704872657,861900,2006,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704462059,24572,2006,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
704462056,5544558,2006,"verejny","Česká republika",NULL,"Waste management",NULL,"Revenues from sale of by-products"
704462057,41913,2006,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
704872639,6307975,2006,"verejny","Česká republika",NULL,NULL,NULL,"Revenues from sale of by-products"
704462054,436828,2006,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
704462055,177361,2006,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
704462058,NULL,2006,"duverny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
704872953,3372544,2007,"verejny","Česká republika",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
704872957,1225426,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
704462089,5905932,2007,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
704872961,281103,2007,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
704872959,362874,2007,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
704872942,19899541,2007,"verejny","Česká republika",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
704872951,6053301,2007,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
704872965,478458,2007,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
704872963,3929,2007,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
704872955,2215974,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
704462098,2788199,2007,"verejny","Česká republika",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
704872944,5691094,2007,"verejny","Česká republika",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
704462108,131048,2007,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
704462103,322929,2007,"verejny","Česká republika",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
1331004774,62826506,2023,"verejny","Česká republika",NULL,NULL,NULL,"Turnover from selling of services"
704462106,152859,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
704872943,14208447,2007,"verejny","Česká republika",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
704462099,2063115,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
704462105,584345,2007,"verejny","Česká republika",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
704462107,997566,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
704462097,2584905,2007,"verejny","Česká republika",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
704462101,231826,2007,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
704462096,5583003,2007,"verejny","Česká republika",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
704462100,227860,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
704462104,3468396,2007,"verejny","Česká republika",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
704462115,249120,2007,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
704462112,26425459,2007,"verejny","Česká republika",NULL,"Waste management",NULL,"Turnover from selling of services"
704462113,1171343,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
704872945,32383750,2007,"verejny","Česká republika",NULL,NULL,NULL,"Turnover from selling of services"
704462110,151935,2007,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
704462111,4262510,2007,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Turnover from selling of services"
704462114,82614,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
704462129,NULL,2007,"duverny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
704462126,1328118,2007,"verejny","Česká republika",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
704462127,598,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Capitalized output (methodology valid until 2015)"
704872947,1438915,2007,"verejny","Česká republika",NULL,NULL,NULL,"Capitalized output (methodology valid until 2015)"
704462124,45680,2007,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Capitalized output (methodology valid until 2015)"
704462125,46557,2007,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
704462128,0,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
704872940,28541389,2007,"verejny","Česká republika","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704462077,19079532,2007,"verejny","Česká republika","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704462084,14697174,2007,"verejny","Česká republika","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
704462086,118206,2007,"verejny","Česká republika","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704872958,923034,2007,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704462076,4942420,2007,"verejny","Česká republika","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704462080,245878,2007,"verejny","Česká republika","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704462087,677156,2007,"verejny","Česká republika","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
704872952,33776706,2007,"verejny","Česká republika",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
704872954,2611035,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704462075,2103280,2007,"verejny","Česká republika","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704872941,21151996,2007,"verejny","Česká republika","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704462078,1657752,2007,"verejny","Česká republika","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704462082,1048649,2007,"verejny","Česká republika","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704462083,3146740,2007,"verejny","Česká republika","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704872939,49693385,2007,"verejny","Česká republika",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
1169719617,14027414,2022,"verejny","Hlavní město Praha",NULL,NULL,NULL,"Turnover from selling of services"
704872948,3151929,2007,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704462079,18118,2007,"verejny","Česká republika","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704872950,8089160,2007,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
704872956,136324,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704462085,953283,2007,"verejny","Česká republika","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704872960,56402,2007,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
704872962,87781,2007,"verejny","Česká republika",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704872964,861014,2007,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704462122,32334,2007,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
704462119,6619544,2007,"verejny","Česká republika",NULL,"Waste management",NULL,"Revenues from sale of by-products"
704462120,45695,2007,"verejny","Česká republika",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
704872946,7309182,2007,"verejny","Česká republika",NULL,NULL,NULL,"Revenues from sale of by-products"
704462117,368893,2007,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
704462118,228830,2007,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
704462121,1266,2007,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
704874244,3657655,2010,"verejny","Česká republika",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
704874259,930895,2010,"verejny","Česká republika",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
704874226,3559046,2010,"verejny","Česká republika",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
704874271,713521,2010,"verejny","Česká republika",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
704874265,440734,2010,"verejny","Česká republika",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
704874217,22646763,2010,"verejny","Česká republika",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
704874235,9037578,2010,"verejny","Česká republika",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
704874282,1908808,2010,"verejny","Česká republika",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
