"idhod","hodnota","duvernost","stapro_kod","dnn_cis","dnn_kod","sektor_cis","sektor_kod","ozp_cis","ozp_kod","rok","uzemi_cis","uzemi_kod","ukazatel_txt","ozp_txt","uzemi_txt","typ_uzemi"
"704872646","3404636","verejny","726",,,,,"2307","140","2006","97","19","Investice na ochranu životního prostředí","Ekologické nakládání s odpady","Česká republika",
"704872650","1190118","verejny","726",,,,,"2307","113","2006","97","19","Investice na ochranu životního prostředí","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872642","4561770","verejny","726",,,,,"2307","130","2006","97","19","Investice na ochranu životního prostředí","Ochrana ovzduší a klimatu","Česká republika",
"704872654","166382","verejny","726",,,,,"2307","115","2006","97","19","Investice na ochranu životního prostředí","Ochrana proti záření","Česká republika",
"704872652","1084489","verejny","726",,,,,"2307","114","2006","97","19","Investice na ochranu životního prostředí","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704872635","22469983","verejny","726",,,,,,,"2006","97","19","Investice na ochranu životního prostředí",,"Česká republika",
"704872644","7348695","verejny","726",,,,,"2307","111","2006","97","19","Investice na ochranu životního prostředí","Ekologické nakládání s odpadními vodami","Česká republika",
"704872658","507589","verejny","726",,,,,"2307","180","2006","97","19","Investice na ochranu životního prostředí","Ost.akt.na ochr.živ.pr.","Česká republika",
"704872656","4008","verejny","726",,,,,"2307","116","2006","97","19","Investice na ochranu životního prostředí","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
"704872648","4202296","verejny","726",,,,,"2307","112","2006","97","19","Investice na ochranu životního prostředí","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462035","2315584","verejny","726",,,"5567","11000","2307","140","2006","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ekologické nakládání s odpady","Česká republika",
"704872637","9393550","verejny","726",,,"5567","13000",,,"2006","97","19","Investice na ochranu životního prostředí - nepodnikový sektor",,"Česká republika",
"704462045","831005","verejny","726",,,"5567","13000","2307","114","2006","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462040","257176","verejny","726",,,"5567","13000","2307","130","2006","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana ovzduší a klimatu","Česká republika",
"704462043","1104783","verejny","726",,,"5567","13000","2307","112","2006","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872636","13076433","verejny","726",,,"5567","11000",,,"2006","97","19","Investice na ochranu životního prostředí - podnikový sektor",,"Česká republika",
